time	nose_x	nose_y	r_shoulder_x	r_shoulder_y	l_shoulder_x	l_shooulder_t	cursor_x	cursor_y	block	repetition	target	trial	state	comeback	is_blind	at_home	count_mouse	score
3.8528999999980442	0.0	0.0	0.0	0.0	0.0	0.0	683.0	384.0	1	1	0	1	0	1	0	1	0	0
60.74399999997695	0.0	0.0	0.0	0.0	0.0	0.0	2.140536138903208	1.203463949251584	1	1	0	1	0	1	0	1	0	0
135.88709999999264	0.0	0.0	0.0	0.0	0.0	0.0	1365.984432753372	767.9912476973609	1	1	0	1	0	1	0	1	0	0
174.20449999999255	0.0	0.0	0.0	0.0	0.0	0.0	1366.0000000077698	768.0000000043749	1	1	0	1	0	1	0	1	0	0
210.94839999999385	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
245.54739999998128	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
280.9058999999834	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
314.8947000000044	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
349.68979999999283	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
385.874599999981	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
427.13369999997667	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
475.238400000002	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
520.7740999999805	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
555.5494999999937	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
618.4200999999885	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
655.6266999999934	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
690.7345999999961	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
758.0675000000047	0.0	0.0	0.0	0.0	0.0	0.0	1366.000000000031	768.0000000000246	1	1	0	1	0	1	0	1	0	0
